_id,Unnamed: 0,Title,Date_of_Release,Rating,Description,Up_System
98,98,Gladiator,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,CM
99,99,Memento,2000,8.5,A man with short-term memory loss attempts to track down his wife's murderer.,CM
100,100,Snatch,2000,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",CM
101,101,Requiem for a Dream,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,CM
102,102,X-Men,2000,7.4,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",CM
103,103,Cast Away,2000,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,CM
104,104,American Psycho,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",CM
105,105,Unbreakable,2000,7.3,A man learns something extraordinary about himself after a devastating accident.,CM
106,106,Meet the Parents,2000,7,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",CM
107,107,Mission: Impossible II,2000,6.1,"IMF Agent Ethan Hunt is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",CM
108,108,"O Brother, Where Art Thou?",2000,7.8,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",CM
109,109,Gone in 60 Seconds,2000,6.5,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,CM
110,110,"Crouching Tiger, Hidden Dragon",2000,7.9,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,CM
111,111,The Patriot,2000,7.2,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,CM
112,112,Almost Famous,2000,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,CM
113,113,Scary Movie,2000,6.2,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",CM
114,114,Pitch Black,2000,7.1,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",CM
115,115,Final Destination,2000,6.7,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",CM
116,116,"Me, Myself & Irene",2000,6.6,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,CM
117,117,The Beach,2000,6.6,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",CM
